POYEAR,POSERIES,PONO,ITEMCODE,INDENTOR,INDYEAR,INDENTNO,MAJSRNO,ENQYEAR,ENQNO,SQTY,PORATE,DISCPER,DLVDATE,AP_VALUE,RECPTYEAR,RECPTNO,RECPTDATE,RECPTQTY,INWYEAR,INWARDNO,INWQTY,STATUS,USERID,ACTION,MOREDESC,MOREDESC1,MOREDESC2,DEPTYPE,DEPTCODE,MACHTYPE,MACHCODE,GPS_QTY,PEN_QTY
20122013,CH,704,10101010,141,20122013,50527,,,0,4.745,1225,0,12-03-13,6380.37,20122013,8708,13-03-13,4.745,20122013,8265,4.745,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,502,,,0,0
20122013,CH,704,10101010,141,20122013,50606,,,0,4.745,1225,0,12-03-13,6380.37,20122013,8709,13-03-13,4.745,20122013,8265,4.745,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,501,,,0,0
20122013,CH,704,10101010,150,20122013,90200,,,0,7.25,1225,0,12-03-13,9748.72,20122013,8710,13-03-13,7.25,20122013,8265,7.25,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,901,,,0,0
20122013,CH,705,10104002,141,20122013,50399,,,0,1267,26.4,0,12-03-13,39300.53,20122013,8861,19-03-13,1267,20122013,8266,1267,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,501,,,0,0
20122013,CH,705,10104002,141,20122013,50400,,,0,1267,26.4,0,12-03-13,39300.53,20122013,8862,19-03-13,1267,20122013,8266,1267,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,502,,,0,0
20122013,CH,705,10104002,150,20122013,90165,,,0,5237,26.4,0,12-03-13,162444.28,20122013,8863,19-03-13,5237,20122013,8266,5237,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,901,,,0,0
20122013,CH,706,10120004,150,20122013,90146,,,0,50000,26.25,0,19-03-13,1501416,20132014,109,05-04-13,33153,20132014,108,33153,,STORE,ADD,,,,D,901,,,0,0
20122013,CH,707,10101001,112,20112012,30481,,,0,2.83,1700,0,14-03-13,5455.56,20122013,8728,14-03-13,2.83,20122013,8322,2.83,E,STORE,UPD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,301,,,0,0
20122013,CH,707,10101001,112,20122013,30358,,,0,8.61,1700,0,14-03-13,16598,20122013,8728,14-03-13,8.61,20122013,8322,8.61,E,STORE,UPD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,301,,,0,0
20122013,CH,708,10181051,141,20122013,50775,,,0,1000,8.15,0,14-03-13,8557.5,20122013,8731,14-03-13,1000,20122013,8324,700,E,STORE,ADD,SPECIFICATIONS ----->               COLOUR---> WHITE  DESCRIPTION---> WHITE COLOUR FUSED LUMPS  PURITY (AS CACL2)---> NOT LESS THAN 75 %,PURITY (AS CA) %---> NLT 20.8 %  BSP---> ABSENT,,D,502,,,0,0
20122013,CH,709,10101010,126,20122013,10067,,,0,3.43,1225,0,15-03-13,4612.15,20122013,8741,15-03-13,3.43,20122013,8332,3.43,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,102,,,0,0
20122013,CH,709,10101010,141,20122013,50527,,,0,3.615,1225,0,15-03-13,4860.92,20122013,8742,15-03-13,3.615,20122013,8332,3.615,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,502,,,0,0
20122013,CH,709,10101010,141,20122013,50606,,,0,3.615,1225,0,15-03-13,4860.92,20122013,8743,15-03-13,3.615,20122013,8332,3.615,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,501,,,0,0
20122013,CH,709,10101010,150,20122013,90200,,,0,6,1225,0,15-03-13,8067.91,20122013,8744,15-03-13,6,20122013,8332,6,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,901,,,0,0
20122013,CH,710,10120004,150,20122013,90146,,,0,25000,26.25,0,22-03-13,750708,20132014,23,03-04-13,26865,20132014,23,26865,E,STORE,ADD,,,,D,901,,,0,0
20122013,CH,711,10181047,150,20122013,90256,,,0,400,285,0,22-03-13,130652.21,20132014,21,03-04-13,400,20132014,21,400,E,STORE,ADD,SPECIFICATIONS ----->               APPEARANCE---> GRANULAR PW.GREYISH METALIC L  ASSAY-MG % W/W---> 99.5  SIEVE TEST % PASSING TH.30 M---> 60% MIN,,,D,901,,,0,0
20122013,CH,712,10104002,112,20122013,30024,,,0,1734,26,0,16-03-13,52907.9,20122013,8796,16-03-13,1734,20122013,8385,1734,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,301,,,0,0
20122013,CH,712,10104002,126,20122013,10139,,,0,1672,26,0,16-03-13,51016.16,20122013,8797,16-03-13,1672,20122013,8385,1672,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,102,,,0,0
20122013,CH,712,10104002,141,20122013,50399,,,0,2220,26,0,16-03-13,67736.76,20122013,8798,16-03-13,2220,20122013,8385,2220,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,501,,,0,0
20122013,CH,712,10104002,141,20122013,50400,,,0,2220,26,0,16-03-13,67736.76,20122013,8799,16-03-13,2220,20122013,8385,2220,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,502,,,0,0
20122013,CH,712,10104002,150,20122013,50401,,,0,1945,26,0,16-03-13,59345.95,20122013,8800,16-03-13,1945,20122013,8385,1945,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,510,,,0,0
20122013,CH,713,10181003,141,20122013,50611,,,0,16.51,1425,0,16-03-13,23526.75,20122013,8817,18-03-13,16.51,20122013,8398,8.255,E,STORE,ADD,,,,D,501,,,0,0
20122013,CH,714,10181150,150,20122013,90258,,,0,600,1450,0,23-03-13,997082.64,20132014,26,03-04-13,600,20132014,27,600,E,STORE,ADD,SPECIFICATIONS ----->               APPEARANCE---> BLACKISH GREY METAL SU.IN WATER  NICEK CONTECT %---> 88.00 MIN  SETTLED DENSITY GM/ML---> 2.00 MAX,IDENTIFICATION---> FOR NICKEL  PYROPHOROSITY---> GOOD  PH OF SUPERNATANT WATER---> 9.5 - 11.0  SETTING TIME---> 60 SEC MAX  CHLORIDE-IN WATER---> 5 PPM MAX,IRON-PPM IN WATER---> 5 PPM MAX  KMN04 ACTIVITY-ML/GM---> 18.5 MIN  MOLYBDENUM %---> 1.0 % MIN,D,901,,,0,0
20122013,CH,715,10181150,150,20122013,90258,,,0,600,1435,0,23-03-13,986767.99,20132014,32,03-04-13,600,20132014,33,600,E,STORE,ADD,SPECIFICATIONS ----->               APPEARANCE---> BLACKISH GREY METAL SU.IN WATER  NICEK CONTECT %---> 88.00 MIN  SETTLED DENSITY GM/ML---> 2.00 MAX,IDENTIFICATION---> FOR NICKEL  PYROPHOROSITY---> GOOD  PH OF SUPERNATANT WATER---> 9.5 - 11.0  SETTING TIME---> 60 SEC MAX  CHLORIDE-IN WATER---> 5 PPM MAX,IRON-PPM IN WATER---> 5 PPM MAX  KMN04 ACTIVITY-ML/GM---> 18.5 MIN  MOLYBDENUM %---> 1.0 % MIN,D,901,,,0,0
20122013,CH,716,10101010,141,20122013,50606,,,0,3.205,1225,0,18-03-13,4309.61,20122013,8864,19-03-13,3.205,20122013,8400,3.205,E,STORE,UPD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,501,,,0,0
20122013,CH,716,10101010,141,20122013,50789,, ,0,3.205,1225,0,18-03-13,4309.61,20122013,8865,19-03-13,3.205,20122013,8400,3.205,E,STORE,UPD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,502,,,0,0
20122013,CH,716,10101010,150,20122013,50103,,,0,5.96,1225,0,18-03-13,8014.12,20122013,8866,19-03-13,5.96,20122013,8400,5.96,E,STORE,UPD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,510,,,0,0
20122013,CH,717,10102079,104,20122013,30456,,,0,35,349,5,25-03-13,12184.46,20122013,8855,19-03-13,35,20122013,8437,35,E,STORE,AMD,,,,D,307,,,0,0
20122013,CH,718,10104001,141,20122013,50792,,,0,17000,18.12,0,26-03-13,362051.55,20122013,8854,19-03-13,17000,20122013,8435,14000,E,STORE,ADD,,,,D,501,,,0,0
20122013,CH,719,10181068,126,20122013,10127,,,0,2501,52,0,19-03-13,149537.79,20122013,8869,19-03-13,2501,20122013,8444,2501,E,STORE,ADD,SPECIFICATIONS ----->               APPEARANCE---> CLEAR YELLOW SOLUTION  CHLORINE G/LT---> 80 TO 100  CAUSTIC G/LT---> 20 TO 25,BAUME---> 15 MIN  SPECIFIC GRAVITY---> 1.115 MIN,,D,102,,,0,0
20122013,CH,720,10181140,150,20122013,90260,,,0,30,1650,0,19-03-13,50490,20122013,8870,19-03-13,30,20122013,8445,30,E,STORE,ADD,,,,D,901,,,0,0
20122013,CH,721,10120004,150,20122013,90146,,,0,25000,25,0,26-03-13,717895.5,20132014,145,06-04-13,12575,20132014,152,12575,,STORE,UPD,,,,D,901,,,0,0
20122013,CH,722,10181006,121,20122013,5852,,,0,20,11390,0,26-03-13,266236.15,20122013,9195,29-03-13,15.87,20122013,8764,15.87,,STORE,ADD,,,,D,3,,,0,0
20122013,CH,723,10102078,104,20122013,30456,,,0,35,149.15,0,19-03-13,6003.29,20122013,8856,19-03-13,35,20122013,8436,35,E,STORE,UPD,,,,D,307,,,0,0
20122013,CH,724,10101001,112,20122013,30468,, ,0,12.1,1625,0,21-03-13,21744.86,20122013,8993,22-03-13,12.1,20122013,8540,12.1,E,STORE,UPD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,301,,,0,0
20122013,CH,724,10101001,141,20112012,50215,,,0,2.95,1625,0,21-03-13,5301.43,20122013,8994,22-03-13,2.95,20122013,8540,2.95,E,STORE,UPD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,501,,,0,0
20122013,CH,724,10101001,141,20122013,50093,,,0,2.95,1625,0,21-03-13,5301.43,20122013,8995,22-03-13,2.95,20122013,8540,2.95,E,STORE,UPD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,502,,,0,0
20122013,CH,725,10181001,141,20122013,50790,,,0,2000,22.5,0,28-03-13,53090.1,20122013,8960,21-03-13,2000,20122013,8545,1150,E,STORE,ADD,"SPECIFICATIONS ----->               COLOUR---> CREAMY WHITE  DESCRIPTION---> CREAMY WHITE,CRYSTALINE POWDER  SO2 %---> NLT - 60.0%",BSP---> ABSENT  CLARITY OF SOLUTION 50% W---> CLEAR,,D,502,,,0,0
20122013,CH,726,10181072,141,20122013,50803,,,0,800,291,0,20-03-13,237456,20122013,8969,21-03-13,800,20122013,8555,800,E,STORE,ADD,,,,D,502,,,0,0
20122013,CH,726,10181072,150,20122013,50804,,,0,400,291,0,20-03-13,118728,20122013,8970,21-03-13,400,20122013,8555,400,E,STORE,ADD,,,,D,509,,,0,0
20122013,CH,726,10181159,141,20122013,50803,,,0,1200,375,0,20-03-13,459000,20122013,8968,21-03-13,1200,20122013,8554,1200,E,STORE,ADD,,,,D,502,,,0,0
20122013,CH,726,10181169,141,20122013,50803,,,0,300,700,0,20-03-13,214200,20122013,9206,29-03-13,300,20122013,8553,300,E,STORE,ADD,,,,D,502,,,0,0
20122013,CH,727,10101004,141,20122013,50790,,,0,1000,34.35,0,21-03-13,39658.08,20122013,9132,28-03-13,1000,20122013,8567,1000,E,STORE,ADD,"SPECIFICATIONS ----->               COLOUR---> COLOURLES  DESCRIPTION---> COLOURLESS,CLEAR,SOLN.  PURITY---> NLT - 99 %",FREEZING POINT---> NLT - 14.8 C,,D,502,,,0,0
20122013,CH,728,10181068,126,20122013,10127,,,0,2596,52,0,21-03-13,155217.96,20122013,9004,22-03-13,2596,20122013,8585,2596,E,STORE,ADD,SPECIFICATIONS ----->               APPEARANCE---> CLEAR YELLOW SOLUTION  CHLORINE G/LT---> 80 TO 100  CAUSTIC G/LT---> 20 TO 25,BAUME---> 15 MIN  SPECIFIC GRAVITY---> 1.115 MIN,,D,102,,,0,0
20122013,CH,729,10104002,141,20122013,50399,,,0,2946,25.8,0,23-03-13,89365.44,20122013,9033,23-03-13,2946,20122013,8611,2946,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,501,,,0,0
20122013,CH,729,10104002,141,20122013,50400,,,0,2947,25.8,0,23-03-13,89395.77,20122013,9034,23-03-13,2947,20122013,8611,2947,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,502,,,0,0
